備考_links,section,品名,備考,出し方
,こ,子供用遊具,指定袋に入らない大きさのものは粗大ごみ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,家庭ごみ
['/contents/00800208.html'],こ,粉ふるい器,小物金属 回収ボックス へ、金属製以外のものは家庭ごみ,小物金属
,こ,碁盤,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,家庭ごみ
['/contents/924_10259.html'],こ,コピー機,事前申込制,粗大ごみ
,こ,ごみ箱,指定袋に入らない大きさのものは粗大ごみ 金属製のものは小物金属 プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,家庭ごみ
,こ,ゴム類（手袋、長靴等）,,家庭ごみ
,こ,ゴムボート,指定袋に入らない大きさのものは粗大ごみ,家庭ごみ
,こ,ゴムマット,,家庭ごみ
['/contents/924_10259.html'],こ,米びつ（ハイザー）,事前申込制 プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,粗大ごみ
,こ,米袋（紙製）,,家庭ごみ
,こ,米袋（プラ製）,,プラスチック
['/contents/00800208.html'],こ,コルク抜き,小物金属 回収ボックス へ,小物金属
['/contents/924_10259.html'],こ,ゴルフクラブ,事前申込制,粗大ごみ
['/contents/924_10259.html'],こ,ゴルフバッグ,事前申込制,粗大ごみ
['/contents/924_10259.html'],こ,ゴルフセット,事前申込制,粗大ごみ
,こ,コンタクトレンズのケース,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック,家庭ごみ
['/contents/00800208.html'],こ,コンパス,小物金属 回収ボックス へ　　金属製以外のものは家庭ごみ,小物金属
,こ,コンビニ弁当の容器,,プラスチック
['/contents/924_10259.html'],こ,コンポスト化容器,事前申込制,粗大ごみ
"['/contents/00800208.html', 'https://www.city.kitakyushu.lg.jp/kankyou/file_0015.html']",こ,コンロ（卓上式）,小物金属 回収ボックス へ カセットボンベは中身を使い切ってから穴をあけずに家庭ごみへ（中身の残っているものは「 市が収集しないもの 」参照）,小物金属
['/contents/924_10259.html'],こ,コンロ（卓上式以外）,事前申込制,粗大ごみ
